config	oracle_metric	oracle_failed	likes_metric	likes_failed	probe_variant	probe_rank_window	probe_rank_window_multiplier	probe_candidate_count	probe_exploration_rate	probe_mmr_enabled	probe_mmr_applied	config_validation
wide_win12_exp0	0.191200	0	0.001692	0	personal_only_multi_queue_personal	120	12	1200	0	false	false	ok
wide_win24_exp0	0.190400	0	0.001692	0	personal_only_multi_queue_personal	240	24	1200	0	false	false	ok
wide_win48_exp0	0.193200	0	0.001692	0	personal_only_multi_queue_personal	480	48	1200	0	false	false	ok
wide_win72_exp0	0.187200	0	0.001692	0	personal_only_multi_queue_personal	720	72	1200	0	false	false	ok
wide_win24_exp8	0.186800	0	0.001692	0	personal_only_multi_queue_personal_exploration_8	240	24	1200	0.08	false	false	ok
wide_win48_exp8	0.182000	0	0.001692	0	personal_only_multi_queue_personal_exploration_8	480	48	1200	0.08	false	false	ok
wide_win48_mmr95_exp0	0.180800	0	0.001692	0	personal_only_multi_queue_personal	480	48	1200	0	true	true	ok
